platform,author,title,content,rating,version,vote_sum,vote_count,updated,review_id,country
appstore,전수산,핸드폰 앱으로는 ai 음성 삽입 불가능 한가요?,핸드폰 앱으로는 ai 음성 삽입 불가능 한가요?,5,0.8.6,0,0,2023-04-17T10:44:14-07:00,9832328434,kr
appstore,이건뭐헐,안녕하세요  AI음성 안보여요,안녕하세요  AI음성 누르는데가 안보여요 혹시 아이폰이라 그럴까요?,5,0.8.6,0,0,2023-03-30T08:39:42-07:00,9768309888,kr
appstore,iAgencement,PC처럼 내가 인공지능이 글 읽는 기능이 있나요,고생 많으십니다. PC판은 글을 입력하면 인공지능이 읽는 기능이 있던데 아이패드에서는 이 기능을 못 찾고 있습니다.,2,0.8.6,0,0,2023-02-21T17:01:30-07:00,9641957581,kr
appstore,가입이안되고잇음,가입이안되요ㅜ,"메일을 계속보내는데 메일이 안옵니다 
다른 이메일은 오는데 ㅜㅜ",3,0.8.6,0,0,2023-02-15T00:24:29-07:00,9619318234,kr
appstore,dreamimaa,다크모드,다크모드는 지원안되나요 ㅠㅠ,4,0.8.6,0,0,2023-02-10T07:23:05-07:00,9603227377,kr
appstore,알리앙,자막 불러오기가 안되네요,자막 텍스트파일 불러와서 확인 누르면 적용이 안되네요. 제가 잘못하고 있는건가요??,5,0.8.6,0,0,2023-01-26T21:32:42-07:00,9551538423,kr
appstore,흥해라 브루,말하기 영상 제작에 원탑이라 생각합니다.,"이런 어플 만들어 주셔서 감사합니다.
덕분에 언제 어디서나 편집하고 있습니다.",5,0.8.6,0,0,2023-01-14T00:46:00-07:00,9505601926,kr
appstore,붐이,정말 이렇게 좋은 어플을 만들어 주셔서 감사해요 .,유료가 되어도 꼭 구매하고 쓸게요 ^^. 항상 감사합니다.,5,0.8.6,0,0,2023-01-13T14:48:09-07:00,9504189182,kr
appstore,Seong-Cheol Cho,최고의 편집앱.,피씨에서도 휴대폰에서도 다 잘 되네요.,5,0.8.6,0,0,2022-12-24T15:45:53-07:00,9431535212,kr
appstore,릴료,항상 잘쓰고 있습니다,혹시 pc버젼말고 앱에서도 ai 성우 안나오나요 ??,4,0.8.6,0,0,2022-12-22T17:55:48-07:00,9425032232,kr
appstore,K158,어마어마하게 유용한,최고의 선물,5,0.8.6,0,0,2022-12-09T08:42:42-07:00,9377970951,kr
appstore,임찌영쓰,이어플은미쳤다,"작업시간을 최소 3-5시간 줄여줬다
상받아야한다.
동영상편집쪽도 만들어서
1등해주세요 
와나
나만알고싶어",5,0.8.6,0,0,2022-11-14T20:13:19-07:00,9290820452,kr
appstore,vrew최고,너무 편리함,"제가 지금 1달 정도 이걸로 동영상 편집하고 있거든요 짱이예요.
오른쪽 아래에 vrew라고 써저있는것만 빼면 짱좋아요",5,0.8.6,0,0,2022-11-06T03:09:47-07:00,9260878602,kr
appstore,sakubread,헝가리어도 추가해주세요 ㅠㅠ,"앱 너무너무 좋아요,, 헝가리어 같은 다른 언어들도 꼭 추가해주셨으면 좋겠습니당 🥹🥹",5,0.8.4,0,0,2022-09-11T07:02:39-07:00,9074323208,kr
